indicatorType,indicatorValue,action,title,description
Url,https://github.com/mvthul/Autopilot-GDAP/releases/download/tauri-v0.1.4/capturetech-autopilot-gdap.exe,Allowed,CaptureTech Autopilot GDAP v0.1.4 download allow,"Temporary exact-release allow for CaptureTech-managed devices. Remove after a Public Trust-signed release is deployed."
FileSha256,62a0570d9d93f25d4e7e8297e37c4242f5a06024554201727661c732adf02e46,Allowed,CaptureTech Autopilot GDAP v0.1.4 file allow,"Temporary SHA-256 allow for the exact v0.1.4 release asset. Remove after a Public Trust-signed release is deployed."
